water_body_id,length_km_bd,avg_width_m,max_depth_m,mean_discharge_m3s,hydrological_origin,outfall_to,flow_regime,divisions_traversed,districts_traversed,bwdb_gauging_stations,banglapedia_match_name,banglapedia_length_km,banglapedia_area_covered_old_districts,banglapedia_source
BD-WB-0087,30,41,,,"India near Madhabpur, Habiganj",Titas River,Perennial,,Habiganj; Brahmanbaria,SW264A (Montala),,,,
BD-WB-0088,28,60,,,"India near Panchagarh Sadar, Panchagarh",Karatoya River,Perennial,,Panchagarh,SW283 (Molani); SW282 (Bhitargar),,,,
BD-WB-0089,67,80-250,7,140,Chittagong Hill Tracts,Moheshkhali Channel / Bay of Bengal,,Chattogram,Bandarban / Cox's Bazar,SW20 (Cox's Bazar),,,,
BD-WB-0090,116,100-500,10,250,Tripura Hills (India),Bay of Bengal,,Chattogram,Feni / Chattogram,SW108 (Ramgarh),,,,
BD-WB-0091,180,300-800,25,850,Lushai Hills (Mizoram),Bay of Bengal (Patenga),,Chattogram,Rangamati / Chattogram,"SW119 (Kalurghat), SW120 (Chittagong Sadar)",Karnafuli,180,"Chittagong HT, Chittagong",https://en.banglapedia.org/index.php/River
BD-WB-0092,148,100-350,12,300,Mowdok Range (Bandarban),Bay of Bengal,,Chattogram,Bandarban / Cox's Bazar,"SW203 (Lama), SW204 (Chiringa)",Matamuhuri,287,Chittagong HT and Chittagong,https://en.banglapedia.org/index.php/River
BD-WB-0093,62,80-300,8,180,Tripura Hills (India),Feni River / Bay of Bengal,,Chattogram,Feni,SW213 (Parshuram),,,,
BD-WB-0094,173,150-400,15,450,North Arakan Hills (Myanmar),Bay of Bengal,,Chattogram,Bandarban / Chattogram,"SW247 (Bandarban), SW248 (Dohazari)",Sangu,173,"Chittagong (80), Chittagong Hill Tracts (93)",https://en.banglapedia.org/index.php/River
BD-WB-0095,146,600-2500,22,3100,Madhumati River continuation,Pasur River / Bay of Bengal,,Barishal / Khulna,Pirojpur / Barguna / Bagerhat,SW13 (Pirojpur),,,,
BD-WB-0096,96,500-2000,20,2400,Lower Meghna network,Bay of Bengal,,Barishal,Jhalokathi / Barguna,SW38.1 (Barguna),,,,
BD-WB-0097,16,300-800,18,1100,Arial Khan Off-take,Gajalia / Sugandha / Bay of Bengal,,Barishal,Barishal,SW18 (Barisal Sadar),,,,
BD-WB-0098,90,800-3000,25,3800,Barishal network,Bay of Bengal,,Barishal,Patuakhali / Barguna,SW221 (Amatali),,,,
BD-WB-0099,140,500-3000,30,4500,Gorai-Madhumati Network,Bay of Bengal (Sundarbans),,Khulna,Khulna / Bagerhat,"SW241 (Khulna), SW244 (Mongla Port)",Rupsa-Pasur,141,Khulna (141),https://en.banglapedia.org/index.php/River
BD-WB-0100,62,800-1600,12,800,Arakan Mountains (Myanmar),Bay of Bengal,,Chattogram,Cox's Bazar,SW215 (Teknaf),,,,
BD-WB-0101,44,40-100,6,85,Greater Gazipur wetlands,Shitalakshya River,,Dhaka,Gazipur / Dhaka / Narayanganj,SW16 (Demra),,,,
BD-WB-0102,115,300-2000,10,800,Pahunri Glacier (Sikkim),Jamuna River (at Chilmari),,Rangpur,Nilphamari / Lalmonirhat / Rangpur / Kurigram,"SW291 (Dalia Barrage), SW293 (Kaunia)",Tista,115,Rangpur (115),https://en.banglapedia.org/index.php/River
BD-WB-0103,205,3000-12000,40,20000,Yarlung Tsangpo (Tibet),Padma River (at Goalando),,Rangpur / Rajshahi / Dhaka,Kurigram / Gaibandha / Bogura / Sirajganj / Tangail / Manikganj,"SW46.5 (Bahadurabad), SW49 (Sirajganj)",Brahmaputra-Jamuna (Jamuna 207),276,Rangpur (140) Pabna (136),https://en.banglapedia.org/index.php/River
BD-WB-0104,264,1000-11000,45,35000,Barak River (Assam/Manipur),Bay of Bengal,,Sylhet / Dhaka / Chattogram / Barishal,Kishoreganj / Brahmanbaria / Narsingdi / Narayanganj / Munshiganj / Chandpur / Lakshmipur / Bhola,"SW275.5 (Meghna Bridge), SW277 (Chandpur), SW278 (Daulatkhan)",,,,
BD-WB-0105,120,4000-10000,35,30000,Gangotri Glacier (Himalayas),Meghna River (at Chandpur),,Rajshahi / Dhaka / Khulna,Chapainawabganj / Rajshahi / Pabna / Kushtia / Rajbari / Dhaka / Munshiganj / Shariatpur,"SW91.5 (Hardinge Bridge), SW93.5 (Goalundo)","Ganges-Padma (Ganges 258, Padma 120)",378,"Rajshahi (145), Pabna (98), Dhaka and Faridpur (135)",https://en.banglapedia.org/index.php/River
BD-WB-0106,,,,,Gorai River; river is known as Madhumati from the Mohammadpur area of Magura,Baleshwar River / coastal delta system,Perennial,Khulna / Dhaka,Magura / Narail / Gopalganj / Bagerhat,,Gorai-Madhumati-Baleshwar,371,"Kushtia (37), Faridpur (71), Jessore (92), Khulna (104), Barisal (67)",https://en.banglapedia.org/index.php/Gorai-Madhumati_River
BD-WB-0107,147,125,,,"Ganges/Padma off-take at Charghat, Rajshahi",Hurasagar River after joining the Karatoya,Seasonal,Rajshahi,Rajshahi / Natore / Pabna,,Baral,147,,https://en.banglapedia.org/index.php/Baral_River
BD-WB-0108,135,,,,"Dumur, northeastern hills of Tripura, India","Meghna River at Shapta, Daudkandi",Seasonal,Chattogram,Cumilla,,Gumti,135,,https://en.banglapedia.org/index.php/Gumti_River
BD-WB-0109,,,,,Baulai river system,Ghorautra / Meghna river network,Perennial,Sylhet / Mymensingh / Dhaka,Sunamganj / Netrokona / Kishoreganj,,Dhanu-Baulai-Ghorautra,235,,https://en.banglapedia.org/index.php/River
BD-WB-0110,,,,,,,Perennial,Sylhet / Dhaka,Sunamganj / Kishoreganj,,,,,
BD-WB-0111,84,6000,,,Lower Meghna north of Bhola,Bay of Bengal; lower course continues as Buragouranga,Perennial,Barishal,Bhola / Patuakhali,,Tentulia,84,,https://en.banglapedia.org/index.php/Tentulia_River
BD-WB-0112,144,,,,"Mathabhanga River at Hatboalia, Chuadanga",Nabaganga River near Magura,Seasonal,Khulna / Dhaka,Chuadanga / Jhenaidah / Magura / Faridpur,,Kumar,162,Jessore / Faridpur,https://en.banglapedia.org/index.php/Kumar_River
BD-WB-0113,,,,,Mathabhanga-Ganges deltaic network,Raymangal River / Bay of Bengal,Perennial,Khulna,Chuadanga / Jhenaidah / Jashore / Satkhira,,Ichamati / Kalindi-Jamuna,,,https://en.banglapedia.org/index.php/Ichamati_River
BD-WB-0114,,,,,Ichamati-Kalindi system in the Sundarbans,Bay of Bengal,Perennial,Khulna,Satkhira,,Raymangal,,,https://en.banglapedia.org/index.php/Raymangal_River
BD-WB-0115,,,,,,Bay of Bengal through the Sundarbans,Perennial,Khulna,Khulna / Bagerhat,,Rupsa-Pasur,141,Khulna (141),https://en.banglapedia.org/index.php/River
BD-WB-0116,,,,,,,Perennial,Barishal,Patuakhali,,,,,
BD-WB-0117,192,125,,,Northeastern Jashore region,Kobadak / Marichap-Kholpetua network,Seasonal,Khulna,Jashore / Satkhira / Khulna,,Betna-Kholpotua,191,Jessore (103) Khulna (88),https://en.banglapedia.org/index.php/Betna_River
BD-WB-0118,236,,,,"Former Teesta distributary at Jaldhaka, Nilphamari",Brahmaputra north of Fulchhari Ghat,Perennial,Rangpur,Nilphamari / Rangpur / Gaibandha,,Ghaghat,236,Rangpur (236),https://en.banglapedia.org/index.php/Ghaghat_River
BD-WB-0119,100,,,,"Padma off-take at Dahuka, Pangsha, Rajbari",Gorai-Madhumati north of Bhatia Bazar,,Dhaka / Khulna,Rajbari / Faridpur / Gopalganj,,Chandana,,,https://en.banglapedia.org/index.php/Chandana_River
BD-WB-0120,,,,,"Tripura Hills, India",Bamni River near the northeastern Sandwip Channel,,Chattogram,Cumilla / Noakhali,,Little Feni-Dakatia,195,Noakhali (95) Comilla (100),https://en.banglapedia.org/index.php/Little_Feni_River
BD-WB-0121,,,,,,,Perennial,Barishal,Pirojpur,,,,,
BD-WB-0122,,,,,,,Perennial,Barishal,Barishal / Pirojpur,,,,,
BD-WB-0123,,,,,,,Seasonal,Khulna,Bagerhat,,,,,
BD-WB-0124,,,,,,,Perennial,Barishal,Patuakhali,,,,,
BD-WB-0125,,,,,"Garo Hills / Meghalaya, India",Dhanu / Meghna river network,Perennial,Mymensingh,Sherpur / Netrokona,,Bhogai-Kangsa,225,Mymensingh (225),https://en.banglapedia.org/index.php/River
BD-WB-0126,,,,,Atrai-Baral and Bangali-Karatoya river systems,Jamuna River,Seasonal,Rajshahi,Pabna / Sirajganj,,,,,
BD-WB-0127,,,,,,,Seasonal,Dhaka,Manikganj,,,,,
BD-WB-0128,,,,,,Sundarbans estuarine network / Bay of Bengal,Perennial,Khulna,Khulna / Satkhira,,,,,
BD-WB-0129,,,,,Betna-Marichap tidal network,Sundarbans estuarine network / Bay of Bengal,Perennial,Khulna,Satkhira / Khulna,,,,,
BD-WB-0130,,,,,,Bishkhali river system,Perennial,Barishal,Barishal / Jhalokathi,,,,,
BD-WB-0131,,,,,,,Seasonal,Dhaka,Kishoreganj,,,,,
BD-WB-0132,,,,,,,Perennial,Mymensingh,Jamalpur,,,,,
BD-WB-0133,,,,,,,Seasonal,Chattogram,Khagrachari / Rangamati,,,,,
BD-WB-0134,,,,,,Kaptai Lake / Karnafuli river system,Seasonal,Chattogram,Rangamati,,,,,
BD-WB-0135,,,,,,,Perennial,Khulna,,,,,,
BD-WB-0136,,,,,,,Perennial,Dhaka,Narsingdi,,,,,
BD-WB-0137,,,,,,,,,,,,,,
BD-WB-0138,,,,,,,,Dhaka / Mymensingh,,,,,,
BD-WB-0139,,,,,,,Perennial,Khulna,Bagerhat,,,,,
BD-WB-0140,,,,,,Bay of Bengal,,Barishal,Patuakhali,,,,,
BD-WB-0141,,,,,Lower Meghna estuary,Bay of Bengal,,Barishal,Bhola,,,,,
